09 Elgar Crossing,16,London,Bluntleaf Bedstraw,Commercial,1,0,1,1,1,0,1,1,0,0
5544 Annamark Pass,36,Linton,Disc Lichen,Appartements,1,1,0,0,1,0,1,1,1,1
9 Quincy Junction,34,Míthymna,Spreading Rockcress,Appartements,1,0,0,0,1,1,0,1,0,0
43493 Carberry Parkway,7,Dois Portos,Licorice Bedstraw,Condo/Loft,0,0,0,0,1,1,1,0,1,0
111 Sundown Terrace,16,Geldrop,Fremont's Goosefoot,Condo/Loft,0,0,0,0,1,0,1,1,1,0
13109 Morningstar Avenue,36,Paseyan,Goatgrass,Appartements,0,1,0,0,0,1,0,0,0,1
4723 Buell Court,8,Vera Cruz,Xanthoparmelia Lichen,Appartements,0,0,1,1,1,0,0,0,1,1
6392 Pepper Wood Crossing,10,Chōfugaoka,Tomasellia Lichen,Commercial,0,0,0,1,1,1,1,0,1,0
9092 Jenna Place,12,Las Matas de Farfán,Dot Lichen,Commercial,0,1,1,1,0,0,0,0,1,0
12899 Mandrake Avenue,29,Tadmur,Garden Sorrel,Appartements,0,1,1,0,0,1,0,0,0,1
